RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	MGRS	JOG	FC	DSG	PC	CC1	ADM1	POP	ELEV	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME_RO	FULL_NAME_RO	FULL_NAME_ND_RO	SORT_NAME_RG	FULL_NAME_RG	FULL_NAME_ND_RG	NOTE	MODIFY_DATE
2	-81584	11039608	42.863889	20.831667	425150	204954	34TDN8624945714	NK34-05	P	PPL		KV	15				D	sqi			ZHABARIIEPERM	Zhabari i Epërm	Zhabari i Eperm	ZHABARIIEPERM	Zhabari i Epërm	Zhabari i Eperm		2009-05-04
2	-81584	11039606	42.863889	20.831667	425150	204954	34TDN8624945714	NK34-05	P	PPL		KV	15				V	sqi			ZHABARIEPERM	Zhabar i Epërm	Zhabar i Eperm	ZHABARIEPERM	Zhabar i Epërm	Zhabar i Eperm		2009-05-04
2	6245971	6272076	42.621389	20.297222	423717	201750	34TDN4236719011	NK34-05	P	PPL		KV	18				N	srp			JABAJRAM	Jabajram	Jabajram	JABAJRAM	Jabajram	Jabajram		2009-04-08
2	412860	521938	42.590556	21.4925	423526	212933	34TEN4040815466	NK34-05	P	PPL		KV	16				N	srp			KOSMATANCI	Kosmatanci	Kosmatanci	KOSMATANCI	Kosmatanci	Kosmatanci		2009-04-08
2	412891	521989	42.593611	21.378611	423537	212243	34TEN3106315757	NK34-05	P	PPL		KV	16				N	srp			SORACAK	Soračak	Soracak	SORACAK	Soračak	Soracak		2009-04-08
2	412891	9057994	42.593611	21.378611	423537	212243	34TEN3106315757	NK34-05	P	PPL		KV	16				N	srp			SVRACAK	Svračak	Svracak	SVRACAK	Svračak	Svracak		2009-04-08
2	412491	521174	42.408611	20.748333	422431	204454	34TDM7929195176	NK34-05	P	PPL		KV	14				N	srp			REDEVICMAHALA	Ređević Mahala	Redevic Mahala	REDEVICMAHALA	Ređević Mahala	Redevic Mahala		2009-04-08
2	412491	11037861	42.408611	20.748333	422431	204454	34TDM7929195176	NK34-05	P	PPL		KV	14				NS	srp			РЕЂЕВИЋМАХАЛА	Ређевић Махала	Ређевић Махала	РЕЂЕВИЋМАХАЛА	Ређевић Махала	Ређевић Махала		2009-05-03
2	412296	520662	42.8475	20.788889	425051	204720	34TDN8275043902	NK34-05	P	PPL		KV	15				N	srp			GRADEVAC	Gradevac	Gradevac	GRADEVAC	Gradevac	Gradevac		2009-04-08
2	425354	544235	42.537778	20.731389	423216	204353	34TDN7794309523	NK34-05	P	PPL		KV	14				N	srp			LJACMAHALA	Ljac Mahala	Ljac Mahala	LJACMAHALA	Ljac Mahala	Ljac Mahala		2009-04-08
2	425354	11037859	42.537778	20.731389	423216	204353	34TDN7794309523	NK34-05	P	PPL		KV	14				NS	srp			ЉАЦМАХАЛА	Љац Махала	Љац Махала	ЉАЦМАХАЛА	Љац Махала	Љац Махала		2009-05-03
2	-101178	523253	42.543611	20.761944	423237	204543	34TDN8045310163	NK34-05	P	PPL		KV	14				V				VRMICA	Vrmica	Vrmica	VRMICA	Vrmica	Vrmica		2009-04-08
2	-101178	11037958	42.543611	20.761944	423237	204543	34TDN8045310163	NK34-05	P	PPL		KV	14				NS	srp			ВРМНИЦА	Врмница	Врмница	ВРМНИЦА	Врмница	Врмница		2009-05-04
2	-101178	-147861	42.543611	20.761944	423237	204543	34TDN8045310163	NK34-05	P	PPL		KV	14				N	srp			VRMNICA	Vrmnica	Vrmnica	VRMNICA	Vrmnica	Vrmnica		2009-04-08
2	-101178	519087	42.543611	20.761944	423237	204543	34TDN8045310163	NK34-05	P	PPL		KV	14				V	sqi			VERMICE	Vërmicë	Vermice	VERMICE	Vërmicë	Vermice		2009-05-04
2	-101178	11037959	42.543611	20.761944	423237	204543	34TDN8045310163	NK34-05	P	PPL		KV	14				D	sqi			VERMNICE	Vërmnicë	Vermnice	VERMNICE	Vërmnicë	Vermnice		2009-05-04
2	9043295	9043295	43.083333	21.066667	430500	210400	34TEN0542770071	NK34-02	P	PPL		KV	19				V	srp			DONJATRNOVICA	Donja Trnovica	Donja Trnovica	DONJATRNOVICA	Donja Trnovica	Donja Trnovica		2009-04-08
2	9043295	9043297	43.083333	21.066667	430500	210400	34TEN0542770071	NK34-02	P	PPL		KV	19				N	srp			DONJATRNAVICA	Donja Trnavica	Donja Trnavica	DONJATRNAVICA	Donja Trnavica	Donja Trnavica		2009-04-08
2	412495	11037880	42.428889	20.760278	422544	204537	34TDM8028197425	NK34-05	P	PPL		KV	14				NS	srp			ДУКОЈ	Дукој	Дукој	ДУКОЈ	Дукој	Дукој		2009-05-03
2	412495	521180	42.428889	20.760278	422544	204537	34TDM8028197425	NK34-05	P	PPL		KV	14				N	srp			DUKOJ	Dukoj	Dukoj	DUKOJ	Dukoj	Dukoj		2009-04-08
2	9022320	11037892	42.447222	20.854444	422650	205116	34TDM8803099443	NK34-05	P	PPL		KV	14				NS	srp			ХАЈРИЗИ	Хајризи	Хајризи	ХАЈРИЗИ	Хајризи	Хајризи		2009-05-03
2	9022320	9022320	42.447222	20.854444	422650	205116	34TDM8803099443	NK34-05	P	PPL		KV	14				N	srp			HAJRIZI	Hajrizi	Hajrizi	HAJRIZI	Hajrizi	Hajrizi		2009-04-08
2	425277	11037952	42.518889	20.786667	423108	204712	34TDN8247707413	NK34-05	P	PPL		KV	14				NS	srp			СУВОПОЉЕ	Суво Поље	Суво Поље	СУВОПОЉЕ	Суво Поље	Суво Поље		2009-05-04
2	425277	544146	42.518889	20.786667	423108	204712	34TDN8247707413	NK34-05	P	PPL		KV	14				N	srp			SUVOPOLJE	Suvo Polje	Suvo Polje	SUVOPOLJE	Suvo Polje	Suvo Polje		2009-04-08
2	423283	541711	42.828333	20.839167	424942	205021	34TDN8685441764	NK34-05	P	PPL		KV	15				N	srp			MIJAJLOVICI	Mijajlovići	Mijajlovici	MIJAJLOVICI	Mijajlovići	Mijajlovici		2009-04-08
2	-90021	11063447	42.553333	20.509722	423312	203035	34TDN5975011332	NK34-05	P	PPL		KV	18				D	sqi			NEPOLE	Nepolë	Nepole	NEPOLE	Nepolë	Nepole		2009-05-24
2	-90021	519936	42.553333	20.509722	423312	203035	34TDN5975011332	NK34-05	P	PPL		KV	18				V				NEPALE	Nepale	Nepale	NEPALE	Nepale	Nepale		2009-04-08
2	-90021	-131335	42.553333	20.509722	423312	203035	34TDN5975011332	NK34-05	P	PPL		KV	18				N	srp			NEPOLJE	Nepolje	Nepolje	NEPOLJE	Nepolje	Nepolje		2009-04-08
2	-90021	11063448	42.553333	20.509722	423312	203035	34TDN5975011332	NK34-05	P	PPL		KV	18				NS	srp			НЕПОЉЕ	Непоље	Непоље	НЕПОЉЕ	Непоље	Непоље		2009-05-24
2	412475	521152	42.4875	20.836944	422915	205013	34TDN8660003918	NK34-05	P	PPL		KV	14				N	srp			RAMAJ	Ramaj	Ramaj	RAMAJ	Ramaj	Ramaj		2009-04-08
2	412475	11037941	42.4875	20.836944	422915	205013	34TDN8660003918	NK34-05	P	PPL		KV	14				NS	srp			РАМАЈ	Рамај	Рамај	РАМАЈ	Рамај	Рамај		2009-05-04
